 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國111年底 ,,,,,,,,,,,,,, 中華民國111年底 ,,,,,,,,   單位：人 ,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
 宜 蘭 縣 , 男 ," 225,711 "," 1,156 "," 6,358 "," 1,541 "," 1,494 "," 1,670 "," 1,653 "," 9,526 "," 9,451 "," 10,533 "," 13,989 "," 17,273 "," 16,458 "," 15,300 "," 17,441 "," 16,597 "," 17,669 "," 18,205 "," 17,181 "," 14,077 "," 9,750 "," 5,639 "," 5,116 "," 2,707 "," 1,015 ", 237 , 33 ,
, 女 ," 223,351 "," 1,128 "," 5,974 "," 1,388 "," 1,429 "," 1,548 "," 1,609 "," 8,826 "," 8,722 "," 9,789 "," 12,829 "," 15,778 "," 14,406 "," 14,396 "," 17,264 "," 16,784 "," 17,260 "," 17,750 "," 17,492 "," 14,575 "," 10,656 "," 6,607 "," 6,712 "," 4,133 "," 1,791 ", 414 , 65 ,
, 計 ," 580,503 "," 4,167 "," 22,133 "," 5,128 "," 5,368 "," 5,714 "," 5,923 "," 33,569 "," 31,433 "," 30,670 "," 34,997 "," 39,369 "," 40,438 "," 43,817 "," 54,456 "," 48,488 "," 43,291 "," 39,417 "," 35,090 "," 27,211 "," 19,556 "," 11,729 "," 10,786 "," 6,303 "," 2,774 ", 720 , 89 ,
 新 竹 縣 , 男 ," 295,891 "," 2,182 "," 11,472 "," 2,585 "," 2,762 "," 2,977 "," 3,148 "," 17,358 "," 16,364 "," 16,043 "," 18,456 "," 20,700 "," 21,594 "," 22,327 "," 26,889 "," 24,179 "," 22,111 "," 20,333 "," 18,242 "," 13,671 "," 9,472 "," 5,439 "," 4,868 "," 2,673 "," 1,193 ", 291 , 34 ,
, 女 ," 284,612 "," 1,985 "," 10,661 "," 2,543 "," 2,606 "," 2,737 "," 2,775 "," 16,211 "," 15,069 "," 14,627 "," 16,541 "," 18,669 "," 18,844 "," 21,490 "," 27,567 "," 24,309 "," 21,180 "," 19,084 "," 16,848 "," 13,540 "," 10,084 "," 6,290 "," 5,918 "," 3,630 "," 1,581 ", 429 , 55 ,
, 計 ," 535,132 "," 2,233 "," 13,208 "," 2,878 "," 3,101 "," 3,462 "," 3,767 "," 23,693 "," 23,083 "," 25,693 "," 32,382 "," 37,576 "," 36,458 "," 38,000 "," 45,022 "," 39,363 "," 39,797 "," 40,513 "," 40,206 "," 32,645 "," 24,125 "," 14,789 "," 13,470 "," 8,179 "," 3,709 ", 892 , 96 ,
 苗 栗 縣 , 男 ," 275,550 "," 1,161 "," 6,809 "," 1,462 "," 1,610 "," 1,855 "," 1,882 "," 12,208 "," 11,988 "," 13,687 "," 17,118 "," 20,161 "," 19,868 "," 20,034 "," 22,984 "," 20,262 "," 20,824 "," 21,135 "," 20,849 "," 16,613 "," 11,656 "," 6,903 "," 6,049 "," 3,455 "," 1,452 ", 299 , 35 ,
, 女 ," 259,582 "," 1,072 "," 6,399 "," 1,416 "," 1,491 "," 1,607 "," 1,885 "," 11,485 "," 11,095 "," 12,006 "," 15,264 "," 17,415 "," 16,590 "," 17,966 "," 22,038 "," 19,101 "," 18,973 "," 19,378 "," 19,357 "," 16,032 "," 12,469 "," 7,886 "," 7,421 "," 4,724 "," 2,257 ", 593 , 61 ,
, 計 ," 1,245,239 "," 8,810 "," 38,697 "," 9,994 "," 9,576 "," 9,706 "," 9,421 "," 51,687 "," 52,058 "," 60,417 "," 78,307 "," 88,985 "," 87,502 "," 90,954 "," 104,135 "," 91,991 "," 86,706 "," 91,193 "," 90,049 "," 75,564 "," 57,754 "," 33,193 "," 29,489 "," 18,268 "," 7,561 "," 1,693 ", 226 ,
 彰 化 縣 , 男 ," 631,625 "," 4,571 "," 20,100 "," 5,152 "," 5,024 "," 5,046 "," 4,878 "," 26,959 "," 27,155 "," 31,909 "," 40,801 "," 46,188 "," 45,962 "," 46,886 "," 53,224 "," 47,019 "," 44,741 "," 46,768 "," 45,936 "," 37,533 "," 27,858 "," 15,282 "," 12,681 "," 6,945 "," 2,556 ", 484 , 67 ,
, 女 ," 613,614 "," 4,239 "," 18,597 "," 4,842 "," 4,552 "," 4,660 "," 4,543 "," 24,728 "," 24,903 "," 28,508 "," 37,506 "," 42,797 "," 41,540 "," 44,068 "," 50,911 "," 44,972 "," 41,965 "," 44,425 "," 44,113 "," 38,031 "," 29,896 "," 17,911 "," 16,808 "," 11,323 "," 5,005 "," 1,209 ", 159 ,
, 計 ," 479,595 "," 2,272 "," 11,717 "," 2,776 "," 2,892 "," 3,005 "," 3,044 "," 17,344 "," 18,000 "," 21,726 "," 29,323 "," 34,373 "," 31,682 "," 31,395 "," 36,341 "," 33,611 "," 36,507 "," 39,438 "," 39,302 "," 32,713 "," 24,752 "," 14,031 "," 13,067 "," 7,794 "," 3,333 ", 764 , 110 ,
 南 投 縣 , 男 ," 244,587 "," 1,180 "," 6,198 "," 1,476 "," 1,533 "," 1,575 "," 1,614 "," 9,026 "," 9,350 "," 11,243 "," 15,371 "," 17,969 "," 17,245 "," 16,817 "," 18,782 "," 16,991 "," 18,749 "," 20,304 "," 20,020 "," 16,484 "," 12,068 "," 6,416 "," 5,698 "," 3,068 "," 1,287 ", 282 , 39 ,
, 女 ," 235,008 "," 1,092 "," 5,519 "," 1,300 "," 1,359 "," 1,430 "," 1,430 "," 8,318 "," 8,650 "," 10,483 "," 13,952 "," 16,404 "," 14,437 "," 14,578 "," 17,559 "," 16,620 "," 17,758 "," 19,134 "," 19,282 "," 16,229 "," 12,684 "," 7,615 "," 7,369 "," 4,726 "," 2,046 ", 482 , 71 ,
, 計 ," 664,092 "," 3,200 "," 16,492 "," 3,890 "," 4,067 "," 4,300 "," 4,235 "," 24,264 "," 26,327 "," 31,643 "," 41,687 "," 44,891 "," 40,321 "," 44,436 "," 54,213 "," 51,349 "," 50,125 "," 52,198 "," 49,325 "," 41,025 "," 33,149 "," 21,588 "," 19,901 "," 11,923 "," 4,847 "," 1,064 ", 124 ,
 雲 林 縣 , 男 ," 342,812 "," 1,671 "," 8,569 "," 2,014 "," 2,081 "," 2,261 "," 2,213 "," 12,455 "," 13,734 "," 16,729 "," 21,896 "," 23,780 "," 21,702 "," 23,333 "," 27,631 "," 26,700 "," 27,169 "," 29,047 "," 26,708 "," 21,069 "," 16,325 "," 9,640 "," 8,370 "," 4,400 "," 1,558 ", 296 , 30 ,
, 女 ," 321,280 "," 1,529 "," 7,923 "," 1,876 "," 1,986 "," 2,039 "," 2,022 "," 11,809 "," 12,593 "," 14,914 "," 19,791 "," 21,111 "," 18,619 "," 21,103 "," 26,582 "," 24,649 "," 22,956 "," 23,151 "," 22,617 "," 19,956 "," 16,824 "," 11,948 "," 11,531 "," 7,523 "," 3,289 ", 768 , 94 ,
, 計 ," 488,158 "," 2,141 "," 10,308 "," 2,544 "," 2,667 "," 2,642 "," 2,455 "," 14,171 "," 15,329 "," 21,382 "," 30,480 "," 34,222 "," 30,513 "," 30,893 "," 36,566 "," 35,816 "," 38,225 "," 41,507 "," 40,703 "," 33,312 "," 26,264 "," 15,736 "," 15,480 "," 9,730 "," 4,324 ", 948 , 108 ,
 嘉 義 縣 , 男 ," 252,940 "," 1,116 "," 5,286 "," 1,306 "," 1,384 "," 1,352 "," 1,244 "," 7,345 "," 8,043 "," 11,233 "," 16,054 "," 18,147 "," 16,645 "," 16,681 "," 18,982 "," 18,301 "," 20,451 "," 22,865 "," 22,146 "," 17,508 "," 13,024 "," 7,070 "," 6,526 "," 3,686 "," 1,494 ", 301 , 36 ,
, 女 ," 235,218 "," 1,025 "," 5,022 "," 1,238 "," 1,283 "," 1,290 "," 1,211 "," 6,826 "," 7,286 "," 10,149 "," 14,426 "," 16,075 "," 13,868 "," 14,212 "," 17,584 "," 17,515 "," 17,774 "," 18,642 "," 18,557 "," 15,804 "," 13,240 "," 8,666 "," 8,954 "," 6,044 "," 2,830 ", 647 , 72 ,
, 計 ," 798,703 "," 3,582 "," 19,204 "," 4,372 "," 4,655 "," 5,055 "," 5,122 "," 28,882 "," 28,908 "," 34,552 "," 48,131 "," 58,235 "," 52,854 "," 52,660 "," 63,258 "," 60,208 "," 62,466 "," 65,904 "," 64,284 "," 54,668 "," 41,388 "," 23,209 "," 19,846 "," 11,158 "," 4,270 ", 936 , 100 ,
 屏 東 縣 , 男 ," 405,785 "," 1,866 "," 9,927 "," 2,268 "," 2,440 "," 2,638 "," 2,581 "," 15,060 "," 15,166 "," 18,048 "," 25,059 "," 30,863 "," 28,159 "," 27,872 "," 32,566 "," 30,689 "," 31,877 "," 34,070 "," 32,429 "," 26,515 "," 19,793 "," 10,499 "," 8,720 "," 4,528 "," 1,658 ", 380 , 41 ,
, 女 ," 392,918 "," 1,716 "," 9,277 "," 2,104 "," 2,215 "," 2,417 "," 2,541 "," 13,822 "," 13,742 "," 16,504 "," 23,072 "," 27,372 "," 24,695 "," 24,788 "," 30,692 "," 29,519 "," 30,589 "," 31,834 "," 31,855 "," 28,153 "," 21,595 "," 12,710 "," 11,126 "," 6,630 "," 2,612 ", 556 , 59 ,
, 計 ," 212,551 "," 1,309 "," 5,726 "," 1,362 "," 1,369 "," 1,421 "," 1,574 "," 8,187 "," 8,382 "," 9,832 "," 13,131 "," 14,879 "," 13,717 "," 13,530 "," 16,211 "," 16,129 "," 17,463 "," 17,772 "," 16,444 "," 13,802 "," 10,376 "," 6,234 "," 4,918 "," 2,836 "," 1,263 ", 353 , 57 ,
 臺 東 縣 , 男 ," 108,716 ", 654 ," 3,004 ", 724 , 692 , 765 , 823 ," 4,286 "," 4,398 "," 5,186 "," 6,786 "," 7,778 "," 7,359 "," 7,230 "," 8,425 "," 8,392 "," 9,314 "," 9,414 "," 8,424 "," 6,777 "," 4,742 "," 2,677 "," 2,000 "," 1,121 ", 535 , 182 , 32 ,
, 女 ," 103,835 ", 655 ," 2,722 ", 638 , 677 , 656 , 751 ," 3,901 "," 3,984 "," 4,646 "," 6,345 "," 7,101 "," 6,358 "," 6,300 "," 7,786 "," 7,737 "," 8,149 "," 8,358 "," 8,020 "," 7,025 "," 5,634 "," 3,557 "," 2,918 "," 1,715 ", 728 , 171 , 25 ,
, 計 ," 318,892 "," 1,899 "," 8,851 "," 2,073 "," 2,074 "," 2,317 "," 2,387 "," 12,932 "," 12,565 "," 14,373 "," 19,036 "," 22,838 "," 20,814 "," 20,744 "," 24,707 "," 24,056 "," 25,139 "," 25,282 "," 24,923 "," 21,788 "," 15,849 "," 9,094 "," 7,323 "," 4,147 "," 1,878 ", 567 , 87 ,
