 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國110年底 ,,,,,,,,,,,,,, 中華民國110年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 450,692 "," 2,731 "," 12,625 "," 2,810 "," 3,133 "," 3,212 "," 3,470 "," 18,864 "," 17,792 "," 21,437 "," 28,787 "," 32,952 "," 30,282 "," 31,036 "," 34,544 "," 33,160 "," 35,281 "," 36,463 "," 33,650 "," 27,858 "," 18,679 "," 12,692 "," 11,767 "," 6,578 "," 2,787 ", 645 , 82 
 宜 蘭 縣 , 男 ," 226,986 "," 1,446 "," 6,464 "," 1,423 "," 1,624 "," 1,632 "," 1,785 "," 9,835 "," 9,223 "," 11,130 "," 15,022 "," 17,286 "," 16,059 "," 15,934 "," 17,387 "," 16,511 "," 17,983 "," 18,485 "," 16,739 "," 13,674 "," 8,958 "," 5,818 "," 5,077 "," 2,632 "," 1,067 ", 229 , 27 
, 女 ," 223,706 "," 1,285 "," 6,161 "," 1,387 "," 1,509 "," 1,580 "," 1,685 "," 9,029 "," 8,569 "," 10,307 "," 13,765 "," 15,666 "," 14,223 "," 15,102 "," 17,157 "," 16,649 "," 17,298 "," 17,978 "," 16,911 "," 14,184 "," 9,721 "," 6,874 "," 6,690 "," 3,946 "," 1,720 ", 416 , 55 
, 計 ," 575,580 "," 4,454 "," 22,567 "," 5,072 "," 5,500 "," 5,727 "," 6,268 "," 34,670 "," 30,065 "," 31,081 "," 36,177 "," 38,637 "," 39,135 "," 45,977 "," 53,402 "," 47,305 "," 42,349 "," 39,607 "," 33,490 "," 26,349 "," 17,896 "," 11,800 "," 10,909 "," 6,120 "," 2,812 ", 693 , 85 
 新 竹 縣 , 男 ," 293,751 "," 2,229 "," 11,760 "," 2,599 "," 2,865 "," 3,039 "," 3,257 "," 17,836 "," 15,729 "," 16,331 "," 19,070 "," 20,393 "," 20,820 "," 23,186 "," 26,250 "," 23,865 "," 21,771 "," 20,527 "," 17,456 "," 13,202 "," 8,674 "," 5,536 "," 4,949 "," 2,622 "," 1,235 ", 279 , 31 
, 女 ," 281,829 "," 2,225 "," 10,807 "," 2,473 "," 2,635 "," 2,688 "," 3,011 "," 16,834 "," 14,336 "," 14,750 "," 17,107 "," 18,244 "," 18,315 "," 22,791 "," 27,152 "," 23,440 "," 20,578 "," 19,080 "," 16,034 "," 13,147 "," 9,222 "," 6,264 "," 5,960 "," 3,498 "," 1,577 ", 414 , 54 
, 計 ," 538,178 "," 2,625 "," 13,966 "," 2,942 "," 3,313 "," 3,628 "," 4,083 "," 24,734 "," 22,600 "," 27,014 "," 33,759 "," 37,847 "," 36,149 "," 40,271 "," 44,062 "," 38,839 "," 39,736 "," 41,592 "," 39,255 "," 32,125 "," 22,308 "," 14,877 "," 13,717 "," 8,083 "," 3,673 ", 837 , 109 
 苗 栗 縣 , 男 ," 277,429 "," 1,331 "," 7,222 "," 1,527 "," 1,770 "," 1,818 "," 2,107 "," 12,715 "," 11,791 "," 14,449 "," 17,799 "," 20,221 "," 19,709 "," 20,983 "," 22,587 "," 20,046 "," 20,982 "," 21,720 "," 20,426 "," 16,358 "," 10,726 "," 6,979 "," 6,189 "," 3,400 "," 1,465 ", 290 , 41 
, 女 ," 260,749 "," 1,294 "," 6,744 "," 1,415 "," 1,543 "," 1,810 "," 1,976 "," 12,019 "," 10,809 "," 12,565 "," 15,960 "," 17,626 "," 16,440 "," 19,288 "," 21,475 "," 18,793 "," 18,754 "," 19,872 "," 18,829 "," 15,767 "," 11,582 "," 7,898 "," 7,528 "," 4,683 "," 2,208 ", 547 , 68 
, 計 ," 1,255,330 "," 10,320 "," 40,188 "," 10,161 "," 10,163 "," 9,678 "," 10,186 "," 54,113 "," 51,122 "," 63,980 "," 82,179 "," 89,341 "," 87,991 "," 95,970 "," 103,453 "," 89,723 "," 87,153 "," 93,611 "," 87,709 "," 74,665 "," 53,814 "," 32,842 "," 29,634 "," 18,171 "," 7,420 "," 1,715 ", 216 
 彰 化 縣 , 男 ," 637,685 "," 5,294 "," 20,950 "," 5,344 "," 5,290 "," 4,983 "," 5,333 "," 28,187 "," 26,779 "," 33,695 "," 42,817 "," 46,475 "," 46,178 "," 49,198 "," 53,064 "," 46,059 "," 45,058 "," 48,193 "," 44,774 "," 37,132 "," 25,997 "," 15,031 "," 12,799 "," 6,938 "," 2,502 ", 509 , 56 
, 女 ," 617,645 "," 5,026 "," 19,238 "," 4,817 "," 4,873 "," 4,695 "," 4,853 "," 25,926 "," 24,343 "," 30,285 "," 39,362 "," 42,866 "," 41,813 "," 46,772 "," 50,389 "," 43,664 "," 42,095 "," 45,418 "," 42,935 "," 37,533 "," 27,817 "," 17,811 "," 16,835 "," 11,233 "," 4,918 "," 1,206 ", 160 
, 計 ," 484,897 "," 2,676 "," 12,108 "," 2,949 "," 3,022 "," 3,037 "," 3,100 "," 18,195 "," 18,001 "," 23,185 "," 31,014 "," 34,658 "," 31,557 "," 32,990 "," 36,277 "," 33,677 "," 37,073 "," 40,762 "," 38,434 "," 32,175 "," 22,780 "," 14,326 "," 13,122 "," 7,678 "," 3,342 ", 756 , 111 
 南 投 縣 , 男 ," 247,686 "," 1,419 "," 6,350 "," 1,557 "," 1,581 "," 1,611 "," 1,601 "," 9,474 "," 9,320 "," 12,014 "," 16,223 "," 18,169 "," 17,250 "," 17,561 "," 18,670 "," 17,095 "," 19,102 "," 21,012 "," 19,688 "," 16,244 "," 11,097 "," 6,591 "," 5,712 "," 3,072 "," 1,324 ", 261 , 38 
, 女 ," 237,211 "," 1,257 "," 5,758 "," 1,392 "," 1,441 "," 1,426 "," 1,499 "," 8,721 "," 8,681 "," 11,171 "," 14,791 "," 16,489 "," 14,307 "," 15,429 "," 17,607 "," 16,582 "," 17,971 "," 19,750 "," 18,746 "," 15,931 "," 11,683 "," 7,735 "," 7,410 "," 4,606 "," 2,018 ", 495 , 73 
, 計 ," 670,132 "," 3,681 "," 17,083 "," 4,034 "," 4,265 "," 4,237 "," 4,547 "," 25,481 "," 26,264 "," 33,492 "," 43,590 "," 44,099 "," 40,750 "," 47,145 "," 54,575 "," 50,219 "," 50,280 "," 53,549 "," 47,902 "," 40,679 "," 31,381 "," 21,903 "," 20,191 "," 11,885 "," 4,827 "," 1,039 ", 117 
 雲 林 縣 , 男 ," 346,358 "," 1,904 "," 8,848 "," 2,059 "," 2,237 "," 2,222 "," 2,330 "," 13,161 "," 13,704 "," 17,575 "," 22,981 "," 23,303 "," 21,993 "," 24,547 "," 27,959 "," 26,211 "," 27,769 "," 29,780 "," 25,864 "," 20,875 "," 15,362 "," 9,751 "," 8,472 "," 4,414 "," 1,553 ", 304 , 28 
, 女 ," 323,774 "," 1,777 "," 8,235 "," 1,975 "," 2,028 "," 2,015 "," 2,217 "," 12,320 "," 12,560 "," 15,917 "," 20,609 "," 20,796 "," 18,757 "," 22,598 "," 26,616 "," 24,008 "," 22,511 "," 23,769 "," 22,038 "," 19,804 "," 16,019 "," 12,152 "," 11,719 "," 7,471 "," 3,274 ", 735 , 89 
, 計 ," 493,316 "," 2,526 "," 10,551 "," 2,696 "," 2,692 "," 2,443 "," 2,720 "," 14,769 "," 15,411 "," 23,233 "," 32,128 "," 33,763 "," 30,544 "," 32,619 "," 37,027 "," 35,621 "," 38,928 "," 42,529 "," 39,554 "," 32,911 "," 24,553 "," 15,956 "," 15,625 "," 9,799 "," 4,286 ", 856 , 127 
 嘉 義 縣 , 男 ," 255,863 "," 1,293 "," 5,380 "," 1,394 "," 1,390 "," 1,228 "," 1,368 "," 7,693 "," 8,104 "," 12,192 "," 16,889 "," 17,833 "," 16,723 "," 17,591 "," 19,053 "," 18,430 "," 21,042 "," 23,493 "," 21,588 "," 17,216 "," 12,003 "," 7,176 "," 6,607 "," 3,732 "," 1,500 ", 288 , 37 
, 女 ," 237,453 "," 1,233 "," 5,171 "," 1,302 "," 1,302 "," 1,215 "," 1,352 "," 7,076 "," 7,307 "," 11,041 "," 15,239 "," 15,930 "," 13,821 "," 15,028 "," 17,974 "," 17,191 "," 17,886 "," 19,036 "," 17,966 "," 15,695 "," 12,550 "," 8,780 "," 9,018 "," 6,067 "," 2,786 ", 568 , 90 
, 計 ," 804,440 "," 4,087 "," 19,858 "," 4,510 "," 4,942 "," 5,010 "," 5,396 "," 29,750 "," 28,481 "," 36,965 "," 51,160 "," 57,876 "," 52,363 "," 55,577 "," 63,673 "," 59,449 "," 63,536 "," 67,275 "," 63,217 "," 53,574 "," 38,655 "," 23,063 "," 19,662 "," 10,923 "," 4,348 ", 852 , 96 
 屏 東 縣 , 男 ," 409,572 "," 2,120 "," 10,316 "," 2,361 "," 2,569 "," 2,516 "," 2,870 "," 15,488 "," 14,897 "," 19,272 "," 26,792 "," 30,632 "," 27,993 "," 29,166 "," 32,856 "," 30,363 "," 32,783 "," 34,708 "," 31,720 "," 26,165 "," 18,504 "," 10,506 "," 8,705 "," 4,433 "," 1,772 ", 340 , 41 
, 女 ," 394,868 "," 1,967 "," 9,542 "," 2,149 "," 2,373 "," 2,494 "," 2,526 "," 14,262 "," 13,584 "," 17,693 "," 24,368 "," 27,244 "," 24,370 "," 26,411 "," 30,817 "," 29,086 "," 30,753 "," 32,567 "," 31,497 "," 27,409 "," 20,151 "," 12,557 "," 10,957 "," 6,490 "," 2,576 ", 512 , 55 
, 計 ," 213,386 "," 1,274 "," 5,861 "," 1,355 "," 1,419 "," 1,548 "," 1,539 "," 8,380 "," 8,397 "," 10,442 "," 13,728 "," 14,786 "," 13,245 "," 14,399 "," 16,189 "," 16,489 "," 17,541 "," 17,780 "," 16,149 "," 13,549 "," 9,797 "," 6,016 "," 4,883 "," 2,764 "," 1,298 ", 368 , 51 
 臺 東 縣 , 男 ," 109,464 ", 683 ," 3,069 ", 689 , 767 , 803 , 810 ," 4,393 "," 4,387 "," 5,481 "," 7,115 "," 7,774 "," 7,167 "," 7,609 "," 8,494 "," 8,607 "," 9,368 "," 9,465 "," 8,301 "," 6,569 "," 4,492 "," 2,589 "," 1,993 "," 1,100 ", 602 , 180 , 26 
, 女 ," 103,922 ", 591 ," 2,792 ", 666 , 652 , 745 , 729 ," 3,987 "," 4,010 "," 4,961 "," 6,613 "," 7,012 "," 6,078 "," 6,790 "," 7,695 "," 7,882 "," 8,173 "," 8,315 "," 7,848 "," 6,980 "," 5,305 "," 3,427 "," 2,890 "," 1,664 ", 696 , 188 , 25 
, 計 ," 321,358 "," 2,010 "," 9,226 "," 2,096 "," 2,316 "," 2,369 "," 2,445 "," 13,297 "," 12,578 "," 15,151 "," 20,296 "," 22,901 "," 20,436 "," 21,997 "," 24,692 "," 24,212 "," 25,392 "," 25,564 "," 24,793 "," 21,209 "," 14,780 "," 9,076 "," 7,057 "," 4,125 "," 1,946 ", 537 , 83 
