 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國114年底 ,,,,,,,,,,,,,, 中華民國114年底 ,,,,,,,   單位：人 ,,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ," 531,172 "," 2,296 "," 11,482 "," 2,667 "," 2,688 "," 2,790 "," 3,337 "," 21,316 "," 24,762 "," 23,049 "," 28,309 "," 34,794 "," 36,694 "," 35,806 "," 43,203 "," 43,528 "," 38,200 "," 39,551 "," 40,706 "," 35,657 "," 28,408 "," 17,532 "," 12,270 "," 8,709 "," 3,790 ", 996 , 114 ,
 苗 栗 縣 , 男 ," 272,809 "," 1,207 "," 5,917 "," 1,338 "," 1,410 "," 1,457 "," 1,712 "," 11,045 "," 12,728 "," 12,084 "," 15,164 "," 18,506 "," 20,097 "," 19,416 "," 22,308 "," 22,052 "," 19,678 "," 20,563 "," 20,938 "," 18,192 "," 13,882 "," 8,170 "," 5,411 "," 3,603 "," 1,451 ", 361 , 36 ,
, 女 ," 258,363 "," 1,089 "," 5,565 "," 1,329 "," 1,278 "," 1,333 "," 1,625 "," 10,271 "," 12,034 "," 10,965 "," 13,145 "," 16,288 "," 16,597 "," 16,390 "," 20,895 "," 21,476 "," 18,522 "," 18,988 "," 19,768 "," 17,465 "," 14,526 "," 9,362 "," 6,859 "," 5,106 "," 2,339 ", 635 , 78 ,
, 計 ," 1,210,206 "," 6,016 "," 31,825 "," 7,942 "," 7,740 "," 7,603 "," 8,540 "," 47,084 "," 53,318 "," 52,281 "," 66,859 "," 82,472 "," 82,668 "," 81,582 "," 96,798 "," 100,259 "," 85,172 "," 86,826 "," 90,485 "," 80,990 "," 66,907 "," 41,558 "," 27,081 "," 19,396 "," 8,372 "," 1,995 ", 262 ,
 彰 化 縣 , 男 ," 613,513 "," 3,037 "," 16,531 "," 4,136 "," 4,035 "," 3,907 "," 4,453 "," 24,590 "," 27,863 "," 27,584 "," 34,986 "," 43,160 "," 43,244 "," 43,054 "," 49,652 "," 51,138 "," 43,635 "," 44,634 "," 46,121 "," 40,320 "," 32,219 "," 19,187 "," 11,683 "," 7,483 "," 2,760 ", 563 , 69 ,
, 女 ," 596,693 "," 2,979 "," 15,294 "," 3,806 "," 3,705 "," 3,696 "," 4,087 "," 22,494 "," 25,455 "," 24,697 "," 31,873 "," 39,312 "," 39,424 "," 38,528 "," 47,146 "," 49,121 "," 41,537 "," 42,192 "," 44,364 "," 40,670 "," 34,688 "," 22,371 "," 15,398 "," 11,913 "," 5,612 "," 1,432 ", 193 ,
, 計 ," 467,881 "," 1,971 "," 10,173 "," 2,500 "," 2,413 "," 2,448 "," 2,812 "," 16,486 "," 18,572 "," 18,566 "," 24,486 "," 30,966 "," 31,611 "," 29,239 "," 34,050 "," 35,847 "," 32,823 "," 37,426 "," 39,632 "," 35,012 "," 28,727 "," 17,563 "," 11,662 "," 8,434 "," 3,600 ", 912 , 123 ,
 南 投 縣 , 男 ," 237,579 "," 1,017 "," 5,293 "," 1,307 "," 1,226 "," 1,280 "," 1,480 "," 8,600 "," 9,649 "," 9,608 "," 12,803 "," 16,276 "," 17,053 "," 15,830 "," 17,718 "," 18,321 "," 16,448 "," 19,110 "," 19,998 "," 17,574 "," 14,063 "," 8,166 "," 5,012 "," 3,374 "," 1,311 ", 316 , 39 ,
, 女 ," 230,302 ", 954 ," 4,880 "," 1,193 "," 1,187 "," 1,168 "," 1,332 "," 7,886 "," 8,923 "," 8,958 "," 11,683 "," 14,690 "," 14,558 "," 13,409 "," 16,332 "," 17,526 "," 16,375 "," 18,316 "," 19,634 "," 17,438 "," 14,664 "," 9,397 "," 6,650 "," 5,060 "," 2,289 ", 596 , 84 ,
, 計 ," 650,989 "," 3,865 "," 15,717 "," 4,918 "," 3,386 "," 3,463 "," 3,950 "," 22,661 "," 26,257 "," 26,882 "," 35,675 "," 44,189 "," 41,342 "," 39,723 "," 49,047 "," 54,685 "," 48,220 "," 50,426 "," 50,654 "," 43,165 "," 36,868 "," 24,381 "," 17,606 "," 12,767 "," 5,471 "," 1,246 ", 142 ,
